symbol,timestamp,action,old_size,new_size,price,old_value,new_value
BCH-USDT-SWAP,2025-03-05 02:22:52.719200,rebalance,-4.57,-4.170000000000001,334.1,-1526.8370000000002,-1393.1970000000003
STX-USDT-SWAP,2025-03-05 02:22:52.719200,rebalance,6.0,1998.0,0.7055,4.2330000000000005,1409.589
ZETA-USDT-SWAP,2025-03-05 02:22:52.719200,rebalance,5940.0,70.0,0.2516,1494.504,17.612
XRP-USDT-SWAP,2025-03-05 05:28:47.258200,rebalance,-599.0,-553.0,2.446,-1465.154,-1352.6380000000001
FLOW-USDT-SWAP,2025-03-05 05:28:47.258200,rebalance,3210.0,10.0,0.4387,1408.2269999999999,4.387
OP-USDT-SWAP,2025-03-05 05:28:47.258200,open,0.0,1502.0,0.94,0.0,1411.8799999999999
OP-USDT-SWAP,2025-03-05 05:28:47.258200,close,-3.0,0.0,0.94,-2.82,0.0
BICO-USDT-SWAP,2025-03-05 05:28:47.258200,rebalance,11077.0,10189.0,0.1343,1487.6411,1368.3827
AXS-USDT-SWAP,2025-03-05 07:04:54.899700,rebalance,2.4000000000000004,413.1,3.418,8.2032,1411.9758000000002
UNI-USDT-SWAP,2025-03-05 07:04:54.899700,close,207.0,0.0,7.332,1517.724,0.0
KSM-USDT-SWAP,2025-03-05 07:54:46.417700,close,78.4,0.0,17.87,1401.0080000000003,0.0
ZIL-USDT-SWAP,2025-03-05 07:54:46.417700,close,-100.0,0.0,0.01261,-1.261,0.0
ZIL-USDT-SWAP,2025-03-05 07:54:46.417700,open,0.0,111800.0,0.01261,0.0,1409.798
POL-USDT-SWAP,2025-03-05 10:18:48.427200,open,0.0,5660.0,0.2538,0.0,1436.508
POL-USDT-SWAP,2025-03-05 10:18:48.427200,close,-10.0,0.0,0.2538,-2.5380000000000003,0.0
ZK-USDT-SWAP,2025-03-05 10:18:48.427200,close,17360.0,0.0,0.08527,1480.2872,0.0
BCH-USDT-SWAP,2025-03-05 10:18:48.427200,rebalance,-4.170000000000001,-3.7600000000000002,375.9,-1567.5030000000002,-1413.384
ZK-USDT-SWAP,2025-03-05 10:18:48.427200,open,0.0,-10.0,0.08527,0.0,-0.8527
YFI-USDT-SWAP,2025-03-05 10:52:48.920000,rebalance,-0.2592,-0.001,5484.0,-1421.4528,-5.484
ARB-USDT-SWAP,2025-03-05 10:52:48.920000,close,5.0,0.0,0.3945,1.9725000000000001,0.0
ARB-USDT-SWAP,2025-03-05 10:52:48.920000,open,0.0,-3561.0,0.3945,0.0,-1404.8145
FLOW-USDT-SWAP,2025-03-05 12:58:50.321600,rebalance,10.0,3120.0,0.4491,4.491,1401.192
ADA-USDT-SWAP,2025-03-05 12:58:50.321600,rebalance,-1520.0,-1410.0,0.9914,-1506.9279999999999,-1397.874
AVAX-USDT-SWAP,2025-03-05 12:58:50.321600,close,70.4,0.0,21.091,1484.8064000000002,0.0
MANA-USDT-SWAP,2025-03-05 13:20:56.409800,rebalance,-5270.0,-4880.0,0.2855,-1504.5849999999998,-1393.2399999999998
METIS-USDT-SWAP,2025-03-05 13:20:56.409800,rebalance,74.4,68.7,20.26,1507.3440000000003,1391.862
ZIL-USDT-SWAP,2025-03-05 13:20:56.409800,rebalance,111800.0,100.0,0.01291,1443.338,1.291
BSV-USDT-SWAP,2025-03-05 13:20:56.409800,rebalance,-40.8,-37.7,36.77,-1500.2160000000001,-1386.2290000000003
DOT-USDT-SWAP,2025-03-05 13:20:56.409800,close,-2.0,0.0,4.395,-8.79,0.0
DOT-USDT-SWAP,2025-03-05 13:20:56.409800,open,0.0,315.0,4.395,0.0,1384.425
MINA-USDT-SWAP,2025-03-05 13:20:56.409800,rebalance,5120.0,4711.0,0.2949,1509.888,1389.2739
ARB-USDT-SWAP,2025-03-05 17:20:53.615500,rebalance,-3561.0,-3228.0,0.4173,-1486.0053,-1347.0444
ETC-USDT-SWAP,2025-03-05 17:20:53.615500,rebalance,-75.3,-68.89999999999999,20.54,-1546.6619999999998,-1415.2059999999997
CFX-USDT-SWAP,2025-03-05 17:20:53.615500,rebalance,14850.0,13730.0,0.1003,1489.455,1377.119
ZK-USDT-SWAP,2025-03-05 17:20:53.615500,close,-10.0,0.0,0.08487,-0.8487,0.0
ZK-USDT-SWAP,2025-03-05 17:20:53.615500,open,0.0,16250.0,0.08487,0.0,1379.1375
AXS-USDT-SWAP,2025-03-05 17:20:53.615500,rebalance,413.1,0.9,3.498,1445.0238000000002,3.1482
STX-USDT-SWAP,2025-03-05 17:46:56.251600,close,1998.0,0.0,0.7251,1448.7497999999998,0.0
STX-USDT-SWAP,2025-03-05 17:46:56.251600,open,0.0,-1.0,0.7251,0.0,-0.7251
ENS-USDT-SWAP,2025-03-05 17:46:56.251600,close,-0.2,0.0,20.728,-4.145600000000001,0.0
ENS-USDT-SWAP,2025-03-05 17:46:56.251600,open,0.0,65.60000000000001,20.728,0.0,1359.7568000000003
